stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
1,4418,3734,1037,0.152222222,205,9999,9999,R,R,0,148,0.25,9999,1,0,1,H,9999,SD,53,2
1,4418,3734,1037,0.152222222,205,0.346,1,F,R,1,149,0.25,612,1,0,1,K,1,SD,53,1
1,4418,3734,1037,0.152222222,205,9999,9999,R,R,0,149,0.25,9999,1,0,1,H,9999,SD,53,2
1,4418,3734,1038,0.310833333,205,0.219,1,F,R,1,140,0.25,336,2,0,1,K,1,SD,53,1
1,4418,3734,1038,0.310833333,205,0.295,1,R,R,1,140,0.25,365,2,0,1,H,1,SD,53,2
1,4418,3734,1040,0.314722222,206,0.215,1,F,R,1,153,0.25,57,1,0,1,K,1,SD,53,1
1,4418,3734,1040,0.314722222,206,9999,9999,R,R,0,153,0.25,9999,1,0,1,H,9999,SD,53,2
1,4418,3734,1041,0.240833333,206,9999,9999,F,R,0,173,0.25,9999,2,0,1,K,9999,SD,53,1
1,4418,3734,1041,0.240833333,206,0.136,1,R,R,1,173,0.25,238,2,0,1,H,1,SD,53,2
1,4418,3734,1042,0.063888889,206,9999,1,F,R,1,155,0.25,9999,3,0,1,K,1,SD,53,1
1,4418,3734,1042,0.063888889,206,0.271,1,R,R,1,155,0.25,393,3,0,1,H,1,SD,53,2
1,4418,3734,1043,0.101944444,206,0.208,1,F,R,1,157,0.25,208,4,0,2,K,1,SD,53,1
1,4418,3734,1043,0.101944444,206,0.29,1,R,R,1,157,0.25,396,4,0,2,H,1,SD,53,2
1,4418,3734,1043,0.101944444,206,9999,9999,F,R,0,164,0.25,9999,4,0,2,K,9999,SD,53,1
1,4418,3734,1043,0.101944444,206,0.222,1,R,R,1,164,0.25,121,4,0,2,H,1,SD,53,2
2,3988,3928,2044,0.184722222,101,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,1,9999,9999,SD,53,0
2,3988,3928,2045,0.138333333,101,9999,9999,F,L,0,206,0.5,9999,2,0,1,X,9999,SD,53,1
2,3988,3928,2045,0.138333333,101,0.247,1,R,L,1,206,0.5,382,2,0,1,H,1,SD,53,2
2,3988,3928,2045,0.138333333,101,9999,9999,F,L,0,208,0.5,9999,2,0,1,X,9999,SD,53,1
2,3988,3928,2045,0.138333333,101,0.263,1,R,L,1,208,0.5,288,2,0,1,H,1,SD,53,2
2,3988,3928,2045,0.138333333,101,0.321,1,F,R,1,209,0.5,42,2,0,1,D,1,SD,53,1
2,3988,3928,2045,0.138333333,101,0.378,1,R,R,1,209,0.5,502,2,0,1,K,1,SD,53,2
2,3988,3928,2045,0.138333333,101,0.135,1,F,R,1,212,0.5,169,2,0,1,D,1,SD,53,1
2,3988,3928,2045,0.138333333,101,0.246,1,R,R,1,212,0.5,427,2,0,1,K,1,SD,53,2
2,3988,3928,2045,0.138333333,101,0.214,1,F,R,1,213,0.5,280,2,0,1,D,0,SD,53,1
2,3988,3928,2045,0.138333333,101,9999,9999,R,R,0,213,0.5,9999,2,0,1,K,9999,SD,53,2
2,3988,3928,2046,0.088888889,101,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
2,3988,3928,2047,0.246388889,102,9999,9999,9999,9999,9999,9999,0.5,9999,0,1,1,9999,9999,SD,53,0
