"D" "g0" "sigma"
0.0446150555389 0.963710911319 1263.00638096
0.0127126875693 0.967361320243 2471.51089729
0.0179367221076 0.999999646531 1924.26915559
0.0081379059047 0.999999781405 2954.00819771
0.0101436553601 0.893252499029 2587.03044114
0.0131147770421 0.969619577747 2134.80465614
0.0195932287061 0.773482819491 1935.05563287
0.135708709825 0.993825179016 681.357485852
0.0419546236641 0.916804675866 1247.50104525
0.150656839226 0.99999971846 689.02187928
0.0625257268183 0.927429335179 1038.66438378
0.0535872418661 0.999999715283 1054.94058599
0.0121580667756 0.999999499219 2495.58181371
0.0130172528312 0.999999748509 2371.83592431
0.0433250235687 0.816831506214 1290.23749442
0.025958697969 0.925465826254 1830.4513602
0.109191752307 0.946609671902 784.101659637
0.00747944761681 0.906397332995 3400.77508247
0.0664597693545 0.999999527955 1015.3384809
0.12256407278 0.99776173775 652.929582127
0.0348094414404 0.999999665971 1338.22704282
0.0174101594252 0.999999616807 1941.46485841
0.0398654370626 0.986442936694 1287.35024031
0.0181663245558 0.816863541671 1890.43566086
0.0459273513664 0.999999758749 1230.66071542
0.0296808172484 0.999999934193 1492.28801749
0.0102236780153 0.772629560005 3232.08011357
0.012437629815 0.917644894327 2594.9426857
0.0946994549444 0.999999902158 825.691015772
0.0919511666808 0.999999771483 844.344630041
0.0485591622468 0.999999943966 1086.21601797
0.171046581343 0.999999841992 650.500984479
0.00884635698029 0.97033766589 2475.57327668
0.0893870605312 0.999999558782 884.873589197
0.0280716000445 0.935200600591 1751.97647068
0.0129595778553 0.856464746311 2569.6569411
0.0494552027108 0.999999759802 1235.09967063
0.0959431639691 0.99999989219 846.91460546
0.0795539417675 0.999999398153 941.138769935
0.0514299786092 0.999999887184 1013.4337874
0.0571658087534 0.899154959038 1098.95680383
0.0129665772564 0.916015023583 2525.69107942
0.0168050751093 0.989968570885 2054.19048594
0.129285566697 0.999999932183 607.0058024
0.0630111518518 0.999999935981 990.052300651
0.00903569830069 0.999999949208 2605.74374626
0.0613579265174 0.959460095852 973.332555289
0.096614291567 0.996054639119 850.11139014
0.0353101459183 0.999999960651 1242.44799692
0.0131901101152 0.723065517658 2629.445881
0.043640482339 0.945266693896 1316.43371779
0.0120674448212 0.933033780888 2569.3876501
0.0420923190747 0.999999910677 1372.579842
0.0816469997167 0.97422779524 864.368694164
0.0120294474382 0.789533435883 2516.64499488
0.00837086511218 0.644043986633 4242.62326551
0.0626372587131 0.999999822788 905.940441631
0.0803457561593 0.999999961785 870.789167047
0.107170893826 0.999999833407 751.655245933
0.00858908943968 0.778746088926 3629.78781823
0.0492450386025 0.945998987496 1160.9603047
0.0290955287641 0.999999911695 1507.62091127
0.0761635154944 0.999999819169 968.865208159
0.0834808405736 0.999999783946 847.164023706
0.0589279436358 0.927051257245 1106.58183593
0.0308759617873 0.943841432769 1535.47704997
0.0226403495951 0.852167162819 1811.84184094
0.00762616025884 0.890811500954 3307.56810828
0.00803131672278 0.999999831818 2808.26114166
0.0585291315414 0.999999586383 915.115202449
0.00761551210982 0.999999256182 3277.48037949
0.0512428760535 0.991962421863 1113.41812211
0.0116088744173 0.999999888766 2510.22304776
0.0666360194801 0.999999869735 940.894845174
0.016865318031 0.912896455914 2259.09260862
0.0237293751315 0.999999126794 1750.18511257
0.0106584013837 0.863845701255 2815.1757698
0.0117946202804 0.999999728769 2324.59609449
0.0999096377852 0.839122539456 810.281644466
0.106592839555 0.999999881594 732.149764568
0.151775055857 0.999999566063 626.182715373
0.0708196051802 0.999999833342 988.236277094
0.0423168389219 0.999999863134 1140.18082789
0.0929070620437 0.921742369165 927.301461723
0.0364422786392 0.785944773586 1408.2933062
0.0628058577368 0.999999851512 1052.41479286
0.0644735709265 0.999998990023 964.377942505
0.00857227788753 0.918555152243 3112.65003466
0.0492780566352 0.999999953829 1133.55358122
0.00865354399249 0.450811433933 7479.36128057
0.0136688910191 0.999999910822 2252.18989052
0.0866456023596 0.999999871554 979.248365808
0.00951200840316 0.999999719083 2674.35099298
0.0491578844297 0.999999766122 1165.63614948
0.0559360657792 0.999999871983 1145.32153827
0.0526880428176 0.998217814453 1041.45616407
0.028380160999 0.87753772408 1598.01609092
0.037895434013 0.998438434464 1088.33027839
0.0547521478156 0.779504335525 1145.77960536
0.00960648338655 0.9987796667 2604.10360675
0.0180750758805 0.931575932792 2051.45584416
0.0133910088573 0.872573824949 2311.10681896
0.0703332864171 0.999999601278 1052.01952672
0.0734843808026 0.892389916691 899.151707962
0.00989325232847 0.76697100298 3124.07305971
0.0374928543767 0.99999913228 1314.64068359
0.124113841982 0.965744934146 736.669331744
0.0250701337468 0.999999688342 1742.06102386
0.0938553623708 0.889193564712 790.734937652
0.0206438721673 0.851717291079 1889.08574737
0.0333776706274 0.99999959897 1328.90886528
0.0130190663805 0.879691166535 2324.66353687
0.10275022555 0.999999885822 735.54206191
0.0592847626546 0.952313122547 939.081647882
0.012331677901 0.999999647902 2551.32772714
0.0579776970877 0.904236667237 1103.40982329
0.0566246471934 0.999999916419 1096.9993395
0.0172975678225 0.944623304773 2009.56677748
0.0355856460965 0.90477303896 1344.2544071
0.0190775606423 0.999997824631 1975.13436155
0.0191458826571 0.99999846404 2020.26636757
0.0123489685144 0.810963940593 2450.48285122
0.136664933814 0.999999942342 704.555649424
0.0868364485873 0.890014329721 921.205566924
0.0073946204715 0.999999853325 2810.99895985
0.0613651252035 0.999999495101 1084.93840539
0.0122749505005 0.888652528244 2715.79751525
0.00845822190065 0.83419922456 3173.05895806
0.0187319032507 0.992761358145 2036.4382433
0.00998637395 0.900331448066 2686.10405939
0.117754396789 0.99999981487 698.848060618
0.0101670694086 0.801903856312 3335.89254482
0.0449516907031 0.999999791972 1180.79496553
0.0600295368969 0.999999849106 1001.26190182
0.0872030214705 0.999999932397 827.681169458
0.0100558594784 0.748629083799 3048.32804959
0.101428004329 0.987744599376 743.720704446
0.00676651401577 0.981023697086 3149.15568127
0.00908537745037 0.943821259052 3095.78391258
0.0850332887437 0.999999758389 820.553715503
0.0875994404792 0.999999231714 849.191086526
0.0225832019751 0.890929706174 1858.87882595
0.054425048357 0.999999844982 1241.24689323
0.0246483222721 0.761840176047 1797.74575323
0.048821565124 0.926997586945 1066.02093458
0.125301244935 0.999999734889 747.733515035
0.107419182438 0.95013873995 774.216387209
0.0111404568903 0.84455839641 3077.37899908
0.0125769772374 0.846963107356 2880.22409839
0.0342447753487 0.999999841431 1413.74724808
0.00855621073992 0.999999640084 2503.83267439
0.0135160149739 0.999999851748 2164.95296932
0.0102735342455 0.99999974097 2396.31300103
0.0855695392321 0.953302600275 867.092337608
0.0429519270151 0.999999847371 1131.38616917
0.00830694457665 0.933941591481 3182.89226232
0.110207052373 0.999999864562 674.389946654
0.0238433356392 0.841398952583 1805.48111906
0.00801034572007 0.386216088553 99999.9930118
0.0652719583938 0.999999832005 1018.48956299
0.0347451950544 0.999999706902 1394.31576147
0.143833719934 0.999999911952 621.571351794
0.0503589464573 0.916446959582 1102.97060506
0.0182857268216 0.995371695284 1841.06214602
0.0172441305679 0.99999994516 2005.91637912
0.0140178890717 0.999997258693 2452.13938431
0.0366638258642 0.999999824006 1275.39534197
0.0117286919066 0.940747529303 2462.43158723
0.0508723074777 0.94565649715 1216.19315215
0.0490590396085 0.988171678267 1140.22736079
0.0120960413907 0.947138317598 2271.59342762
0.00846520853415 0.787394457217 3792.57281465
0.0176989045642 0.985497360081 1999.90946806
0.10108604509 0.999999860624 764.644092681
0.0276377432051 0.816694491839 1771.87469635
