"D" "g0" "sigma" "no3s"
0.223819461298 0.62484770361 1380.27408842 1
0.177983929817 0.999999761349 1223.76047858 0
0.165445878664 0.999999563371 1237.93983218 1
0.187342155678 0.999999200842 1104.89613048 0
0.167957722175 0.999998859275 1192.69611041 1
0.154302345901 0.95615877747 1259.20650519 2
0.150018917289 0.99999951721 1251.49234854 1
0.177552439418 0.780883487011 1346.88813066 1
0.178618945745 0.714993626922 1429.73188652 2
0.189177363219 0.999997279599 1165.4905941 1
0.173357144195 0.999999732483 1219.64576009 0
0.170299840896 0.999999869889 1303.22077856 0
0.175267962366 0.999999270317 1206.92874207 1
0.149071515132 0.999998860792 1293.64827838 0
0.182879552613 0.999999806268 1248.41350219 0
0.183864821701 0.999999231803 1196.04790868 1
0.198568474441 0.99999938454 1118.02099432 0
0.190447090875 0.999999727405 1204.04911554 0
0.200117752369 0.999999328268 1111.49726004 0
0.168218269869 0.999998630324 1258.09124623 2
0.176117914141 0.999999668609 1188.66358928 0
0.182920468772 0.638044795617 1461.05799769 2
0.172374954865 0.999999696381 1200.25613455 0
0.148220699603 0.999999181205 1296.12961975 0
0.181701073632 0.999999314493 1209.09938293 1
0.178505973891 0.957216270569 1239.11042994 2
0.148870857863 0.961605997624 1386.86634199 0
0.16100441258 0.99999975834 1330.03683543 2
0.1626721019 0.999999534218 1243.25796533 1
0.164211613196 0.999999403974 1225.99402413 1
0.188150512948 0.937830970413 1257.26680643 0
0.143676883724 0.851680334272 1450.1819896 1
0.176629608162 0.999999294227 1217.8578169 1
0.165349954284 0.838415215546 1440.17856125 1
0.156590033162 0.841724273087 1446.38336831 1
0.202281066342 0.999999613303 1159.64621882 0
0.151421596928 0.995674392477 1362.36767921 2
0.168568766723 0.999999753961 1222.79743781 0
0.176846539079 0.814457058472 1378.23228559 2
0.179004875922 0.9999998167 1261.00249596 0
0.144026561233 0.999999661541 1327.61279644 2
0.179552392954 0.999999347351 1209.48345152 1
0.178965959274 0.999999568699 1161.14456179 0
0.180090953816 0.99999969628 1197.7127613 0
0.165459339563 0.999999755101 1232.7099005 0
0.157419569047 0.999994686156 1256.62707722 2
0.220278039698 0.80344505715 1178.93470878 1
0.188696050452 0.999999605082 1160.94367308 0
0.161878587757 0.999999670445 1202.53332533 0
0.148445665205 0.780938136589 1480.39513862 1
0.153044131812 0.689802284791 1590.20557553 2
0.196910243111 0.807764739291 1265.80911848 0
0.17436828037 0.999998688962 1183.87231821 1
0.146375019883 0.99999779147 1357.69839435 4
0.148564934799 0.82005048722 1445.08544081 1
0.182030840401 0.999999448754 1217.3318748 1
0.154518751683 0.958371737515 1317.80030705 1
0.166604154361 0.999999784895 1243.16334271 0
0.175177376494 0.999999205581 1272.26651803 2
0.166799440926 0.941300177196 1264.88986951 0
0.129470545396 0.999999573633 1374.71028699 3
0.223200273264 0.85645951907 1156.66901315 1
0.189431126896 0.999999427909 1209.33363202 1
0.200566354081 0.852739965708 1257.11977124 0
0.152925744845 0.810576809068 1458.64121619 3
0.174942743625 0.744082594347 1374.12019397 1
0.172198702519 0.999999645623 1249.24950726 1
0.162917448421 0.932943555365 1318.14267798 3
0.207228056937 0.769707939716 1276.39201514 2
0.177242700516 0.93952466688 1255.96067638 0
0.179969849023 0.999999549731 1155.73260353 0
0.166847516359 0.999999573344 1243.80648489 1
0.160446592123 0.999999606104 1302.03337749 2
0.177015737624 0.999999601502 1243.76997785 1
0.171662505877 0.985235784771 1239.2661699 2
0.174053575996 0.999999724267 1215.14257426 0
0.162411474824 0.999999834608 1311.45985823 1
0.140827160489 0.999999666724 1373.81679508 1
0.176129426599 0.994415560234 1228.23862583 2
0.149100324864 0.954505452778 1321.88712315 3
0.197485615083 0.999999533011 1141.36545122 0
0.1691901097 0.999998112941 1252.18995193 2
0.14644900681 0.999999877576 1362.78806258 1
0.180482448986 0.744918782228 1371.45933376 3
0.155830337523 0.999999557492 1296.3151779 2
0.166637572629 0.999999626621 1248.12568215 1
0.17226797322 0.973227022776 1259.45366181 0
0.153333486463 0.833549301053 1450.09820656 1
0.151170306273 0.999999785679 1260.86785231 0
0.165958455312 0.999998225882 1313.21904774 1
0.160660347803 0.80210640076 1391.41660354 2
0.16900029931 0.999999855643 1289.47353101 0
0.178618539404 0.999999263916 1206.69580949 1
0.153943610082 0.999999835648 1325.18932207 1
0.151099742163 0.999999758009 1246.25195441 0
0.170802323951 0.905502198171 1270.4314612 0
0.177581156446 0.999998710378 1192.82965534 1
0.195680369686 0.837716674758 1263.64353552 2
0.151192013353 0.999999201743 1344.6654106 1
0.149970123542 0.999999812017 1277.96166926 0
0.17154805243 0.77836516785 1368.11256136 3
0.150611022542 0.956941563666 1380.76515387 0
0.191758692258 0.728603266828 1399.41619017 2
0.165364343885 0.999999697288 1208.80216982 0
0.183278150434 0.99999968968 1188.73765196 0
0.16021813154 0.999999721283 1213.38217377 0
0.135763992271 0.960207338457 1415.86714826 0
0.170719453574 0.999999794907 1247.28123196 0
0.175538627523 0.887124564363 1330.28330377 1
0.167425621145 0.999999642041 1182.69026903 0
0.163236203998 0.999999725905 1223.2453885 0
0.177014941594 0.905887373162 1259.73758866 0
0.156959422681 0.927247892773 1381.45294037 0
0.169399542727 0.99999976876 1236.19583262 0
0.138197965294 0.999999734504 1354.39294321 2
0.169970956754 0.999999490258 1230.40624399 1
0.162151664873 0.794351854006 1398.37952778 2
0.180300658292 0.99999959529 1167.64793768 0
0.152694758504 0.90840652801 1384.78610113 0
0.159628624763 0.801432574527 1368.06813996 1
0.158414851792 0.999999651855 1255.56886036 1
0.142467846409 0.999999697574 1332.3093634 2
0.163568665834 0.999998668442 1268.6368382 2
0.171503037882 0.999999500742 1152.43944284 0
0.189600155576 0.993572989669 1223.33762568 2
0.1466701266 0.97138441399 1341.95981699 1
0.190027231728 0.832838931304 1319.94678958 1
0.200287434415 0.999999609267 1161.90056856 0
0.179534621614 0.999999811444 1250.96006013 0
0.168094871911 0.999999737523 1229.91800528 0
0.144201240393 0.756631553021 1530.09195254 0
0.190567749359 0.999999213971 1105.32511123 0
0.14480787347 0.999999496051 1298.74772493 2
0.184549701632 0.946025879245 1249.99403591 0
0.175440185157 0.999998017755 1271.151357 0
0.147216886459 0.999999748894 1297.55023574 1
0.155893207787 0.999985983334 1318.96074203 1
0.139857388448 0.826012048924 1421.84110644 0
0.161752042316 0.999999695267 1263.09555387 1
0.179750966334 0.999999720057 1207.0955101 0
0.149002332139 0.999999813893 1271.57049863 0
0.174534803832 0.83871978028 1339.14279494 3
0.156722318456 0.999999789738 1250.8833068 0
0.156233628257 0.902777396516 1341.2670113 1
0.167741835977 0.999998978432 1202.25362512 1
0.154272439268 0.920952716958 1330.4104365 1
0.132174770573 0.842531707969 1516.5657647 4
0.151269988202 0.727510860459 1552.28645507 1
0.16507883227 0.999998150439 1278.80911462 0
