"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC"
5018.86684882 173.08437538 -3.02579670275 6.23057653537 -2887.51 5783.02
5832.80247136 174.051041081 -3.24668080145 5.41376133115 -3059.49 6126.98
4993.39657531 173.089423491 -3.06423974579 6.06907680111 -2698.55 5405.1
5412.42852033 171.723931428 -2.91199006252 6.28770992834 -2862.3 5732.6
5322.70121781 172.9433871 -3.15839760208 6.43125004173 -2794.48 5596.96
5060.55087261 173.420677207 -3.18119938973 6.31971956391 -2669.67 5347.34
5638.59072334 173.08635795 -3.15069844141 5.87179915368 -2899.92 5807.84
5676.53178802 172.760146443 -3.19284274675 6.17966201609 -2849.45 5706.9
5699.86769101 173.173890205 -3.06385046381 5.25133066432 -2988.18 5984.36
5816.73108672 172.520867573 -3.05091556787 6.53279880614 -3285.19 6578.38
5595.36301386 172.816688242 -3.05626544261 6.14668007168 -3005.87 6019.74
4659.99914811 172.444744392 -2.96954328724 6.06278081424 -2622.74 5253.48
5819.95567949 172.542992831 -3.04460958347 6.33386445109 -3155.88 6319.76
5276.8843942 173.580010461 -3.0961150382 6.39762682004 -2909.78 5827.56
5429.12130832 173.963531474 -3.21993976613 6.21290159329 -2895.29 5798.58
5463.56298061 172.384812727 -2.97165917841 6.12015633838 -2975.77 5959.54
5463.4732115 171.953737424 -3.04461014199 6.31124839127 -2744.74 5497.48
5173.39838095 173.74000711 -3.03732511895 5.95387116626 -3028.94 6065.88
6219.30587114 174.252640705 -3.36191621152 5.89501795341 -3165.71 6339.42
5595.58157394 172.296550835 -3.01561664126 6.3179488918 -2988.25 5984.5
5558.02272467 173.937613662 -3.1998512965 6.09115115656 -2954.49 5916.98
5156.58764663 173.083184147 -3.17878969747 6.59451050892 -2655.2 5318.4
5259.3017042 172.500492551 -3.16976171781 6.23366476262 -2642.41 5292.82
5280.82585081 172.776764969 -3.06849243858 5.72726774288 -2779.58 5567.16
5362.70184228 172.224825987 -3.02752478277 6.35635076732 -2784.29 5576.58
