"D" "shape1" "shape2" "scale" "logLik" "AIC"
4652.90039395 2.15220571157 3.38000021328 -0.359958088459 -1024.71 2057.42
NA NA NA NA NA NA
4363.91517116 1.94290703266 2.87764281898 -0.296642086535 -971.103 1950.206
5391.03858237 2.46552641708 2.11771594094 -0.169525294286 -1076.44 2160.88
5483.9545626 156.555527401 5.07366657896 -0.00282489261009 -977.698 1963.396
5426.59459794 2.45593576196 2.58787681604 -0.225536703013 -1073.24 2154.48
5557.59563307 8.22324857417 2.44260618225 -0.0448363074046 -1121.07 2250.14
5510.15565203 4.50668429264 2.19919673333 -0.0948229327174 -1050.1 2108.2
5095.40134467 4.75149797093 2.15267382513 -0.0834374915853 -956.337 1920.674
5797.56566362 139.414299422 4.95879591912 -0.0030360127317 -999.72 2007.44
4961.32471152 3.07698177316 2.05725623039 -0.125061790386 -1032.17 2072.34
5848.16718885 135.49280141 4.93035897741 -0.00291974381787 -1105.21 2218.42
4596.12742112 2.05945980915 2.81618426162 -0.280711072482 -981.946 1971.892
5250.33625071 2.21335785786 2.39660179853 -0.221277329945 -1053.04 2114.08
5343.33502056 10.3295091057 2.61005856039 -0.0379030040275 -998.446 2004.892
5166.38404349 6.15195068746 2.27735655418 -0.0642001832299 -959.588 1927.176
5738.59133058 153.721652893 5.0533978466 -0.00252687163071 -1048.67 2105.34
5563.76330972 5.41765866627 2.15869842139 -0.0662610947547 -1048.77 2105.54
5768.05267763 5.82410690297 2.26367938176 -0.0684551430869 -1095.19 2198.38
5664.56695253 110.171527638 4.72290841875 -0.00279026609939 -1185.51 2379.02
5291.73193899 2.205396632 2.45580015145 -0.226033961841 -1088.06 2184.12
4529.98195193 137.409622179 4.94037728542 -0.00227634695038 -955.232 1918.464
5720.32179555 6.79381944536 2.25894151505 -0.0469117344982 -1156.43 2320.86
5345.28325176 25.5992863931 3.33595731154 -0.012561308506 -1064.86 2137.72
5600.45695812 7.68913959176 2.44254553346 -0.0555676693257 -1038.86 2085.72
5565.05429445 87.2490878519 4.4993159598 -0.00410825392302 -1086.71 2181.42
5096.97292624 2.25522596945 2.19308408431 -0.193334708011 -1008.77 2025.54
5265.71223057 9.03877310458 2.52721422436 -0.0425363643772 -1076.98 2161.96
6174.3007385 71.5655261041 4.31300445777 -0.00582871547076 -1144.26 2296.52
5572.17355872 4.08953859313 1.98305261899 -0.0805789110528 -1108.55 2225.1
5820.29481757 132.045128379 4.9091948577 -0.00356291960091 -1053.32 2114.64
4950.15019605 2.20330370297 2.63870309509 -0.257221058988 -953.993 1915.986
5149.6205842 52.0218674794 3.99971985078 -0.00668158586502 -964.305 1936.61
5246.10665421 46.4571609909 3.89095076984 -0.00714174730541 -1029.36 2066.72
5319.2808141 123.78625165 4.83966111071 -0.00284175713586 -1015.46 2038.92
5662.91599776 7.3536054454 2.29027153861 -0.041256147365 -1111.32 2230.64
NA NA NA NA NA NA
5351.18554211 156.637502771 5.06867633249 -0.00195133701173 -1105.73 2219.46
5467.37324207 182.162259086 5.22093701995 -0.00220154289019 -999.167 2006.334
4907.99900831 4.00171435708 2.12996618877 -0.0999024347585 -965.859 1939.718
4896.26666713 4.99432020393 2.1342300932 -0.0707725605831 -1002.38 2012.76
5562.74975754 109.294149897 4.71582564139 -0.00287019774321 -1145.42 2298.84
5229.15081838 2.0778094705 2.94549486816 -0.304819995363 -1049.57 2107.14
4631.61325036 2.90684318867 2.17418546276 -0.143329565031 -986.986 1981.972
4947.01818313 2.1436067685 2.16202609018 -0.188820751289 -1114.72 2237.44
4846.55004364 2.26690359516 2.09558104932 -0.173399230087 -1062.76 2133.52
5400.46269135 144.117194451 4.99179710798 -0.00285332796513 -1026.88 2061.76
5187.69232694 3.66777657934 2.11958933981 -0.109862301637 -1031.96 2071.92
5986.94233022 92.6320980398 4.55248133599 -0.00330117061421 -1167.27 2342.54
4980.49365465 2.05039143604 3.04886947243 -0.313385864659 -1031.52 2071.04
5119.00219906 2.40869284759 2.31785200439 -0.197206616092 -1022.03 2052.06
5166.43057465 89.3895509432 4.52528600705 -0.00428676587377 -1022.65 2053.3
5086.88946573 172.485275641 5.16416187418 -0.00182939395204 -1041.36 2090.72
5121.1088596 60.7961216879 4.1500738651 -0.00567135348045 -1021.71 2051.42
5279.9891785 6.56983974608 2.32879407395 -0.0599199374214 -1028.58 2065.16
5654.96516733 2.15834507305 3.07855709518 -0.318077613344 -1094.95 2197.9
5082.28011105 2.12447941522 2.59119454167 -0.244657758873 -1096.5 2201
5812.30958765 128.026325677 4.87550329281 -0.00310525809077 -1116.78 2241.56
4947.91607698 2.20301496021 2.28672139332 -0.210932916075 -972.886 1953.772
5169.85103874 3.00693691537 2.33596481302 -0.161084513639 -1042.56 2093.12
4978.69439038 2.73474534292 2.13835067159 -0.152202093415 -1015.53 2039.06
5396.60264382 18.6689765968 3.07571777764 -0.0198324480781 -1066.08 2140.16
4897.11149951 5.9846934223 2.23878875168 -0.0608130729078 -967.864 1943.728
5528.12558572 102.447325889 4.65797924866 -0.0040240258014 -982.521 1973.042
4237.81164138 1.82421313729 2.86792154078 -0.291106609675 -1064.51 2137.02
4895.62407665 26.8248454423 3.38689732789 -0.0133804901217 -939.381 1886.762
5276.34379855 2.17737607855 2.83823697111 -0.279860557341 -1045.5 2099
5514.40355068 2.30206396695 2.25335375099 -0.20842006172 -1013.67 2035.34
4790.57737289 3.93687507174 2.40038696828 -0.136957688403 -932.247 1872.494
5104.22515609 92.3982914209 4.55615204363 -0.00383741313051 -1083.51 2175.02
5951.92825195 129.924140846 4.89064747264 -0.0032240710835 -1116.94 2241.88
4950.16242952 2.13926452861 2.2861065929 -0.210594527846 -1048.03 2104.06
4652.52062215 1.94962221723 3.10863651291 -0.332570260388 -1011.51 2031.02
5151.77110966 2.2489159316 2.40391336975 -0.211000338338 -1084.77 2177.54
