"D" "sigma" "logLik" "AIC"
4493.39489962 5.37030250061 -924.009 1852.018
5503.13430134 5.13762051249 -1043.01 2090.02
4900.54522119 5.73397392452 -1122.84 2249.68
4577.99649753 5.42078142586 -955.858 1915.716
4820.04415742 5.27496314727 -939.294 1882.588
5039.47741795 5.60336844977 -1111.17 2226.34
5133.99148766 5.65658420195 -1158.29 2320.58
4894.17976841 5.3322479697 -1001.06 2006.12
4948.42100835 5.44667034199 -1028.38 2060.76
4625.4984611 5.61565837817 -1024.91 2053.82
5230.79644995 5.5224020163 -1140.06 2284.12
5425.12158494 5.16883622893 -1023.72 2051.44
4553.57970942 5.29623899732 -892.016 1788.032
4936.68379851 5.35597338419 -1006.74 2017.48
5099.16058573 5.59986544563 -1136.24 2276.48
4509.47745649 5.56174006099 -989.222 1982.444
4732.2283689 5.57302050753 -1053.11 2110.22
4931.66432516 5.44852705232 -1017.19 2038.38
4714.74682237 5.57597129544 -1043.63 2091.26
5255.73239262 5.28536570769 -1054.32 2112.64
4986.55768427 5.48305316676 -1063.31 2130.62
5306.66861731 5.32291253935 -1051.94 2107.88
5056.39555911 5.44098652582 -1058.48 2120.96
4604.83796956 5.54013806986 -1005.85 2015.7
4906.59031696 5.50101934141 -1052.3 2108.6
5226.15358461 5.50055719045 -991.076 1986.152
4443.18963853 5.49824835142 -955.948 1915.896
4934.33313255 5.41331783135 -1019.2 2042.4
4903.73428512 5.33622883618 -1006.29 2016.58
4567.39900402 5.45339444421 -960.836 1925.672
5029.70166507 5.47187663346 -1062.82 2129.64
4822.03799645 5.28495029833 -977.017 1958.034
5249.54412438 5.28973377406 -1043.01 2090.02
4950.88490894 5.37854385482 -1008.63 2021.26
5784.38557415 5.12745140529 -1069.15 2142.3
5652.08909656 5.20177935032 -1096.45 2196.9
5026.69013147 5.26653556959 -986.972 1977.944
5745.56712032 5.15185197173 -1093.74 2191.48
5078.84247247 5.27238980291 -1026.65 2057.3
4502.42384425 5.87150037871 -1092.02 2188.04
5088.51299796 5.37397263927 -1059.02 2122.04
4747.90073794 5.49216445217 -1018.76 2041.52
5432.41168715 5.36872499593 -1115.19 2234.38
5061.92337612 5.64931330445 -1150.15 2304.3
5201.64545567 5.62613960546 -1155.25 2314.5
4868.08506421 5.374817543 -1000.83 2005.66
4491.94428978 5.39593281839 -935.713 1875.426
5443.97720197 5.50097314161 -1159.67 2323.34
5683.59470732 5.33817655476 -1155.26 2314.52
4443.58599728 5.35053717417 -901.09 1806.18
4721.41400357 5.76119092456 -1109.03 2222.06
4579.96492676 5.41915649155 -951.164 1906.328
4853.55395156 5.52049625982 -1029.29 2062.58
4785.53534801 5.46207949509 -1014.35 2032.7
5063.96675781 5.60570194275 -1125.38 2254.76
4936.85269243 5.2774493092 -982.092 1968.184
4969.30032014 5.33135387767 -990.342 1984.684
5099.82168471 5.33324518475 -1045.24 2094.48
4882.97049584 5.3408114305 -970.798 1945.596
4917.8245609 5.63408135142 -1119.05 2242.1
4620.26841032 5.33851637323 -942.94 1889.88
4934.89003571 5.63139527796 -1118.66 2241.32
4946.50952605 5.61147810045 -1107.53 2219.06
4608.64711215 5.71023788106 -1055.14 2114.28
5490.634468 5.47829998926 -1181.56 2367.12
5741.15030254 4.97611469558 -1024.65 2053.3
4708.42183748 5.5355582781 -1035.89 2075.78
4735.57872799 5.47923364599 -1003.49 2010.98
5120.03859527 5.19888028644 -978.981 1961.962
4712.68007957 5.63427537362 -1058.5 2121
5431.85449112 5.29800325058 -1078.19 2160.38
5247.57915032 5.29112231857 -1065.71 2135.42
5176.58675189 5.45814756972 -1088.71 2181.42
4566.24656273 5.78102087004 -1077.25 2158.5
4635.88210602 5.38527742994 -963.463 1930.926
4962.46127357 5.46880549164 -1058.14 2120.28
5281.38632045 5.45476490399 -1117.09 2238.18
5052.93820186 5.3132547875 -1019.95 2043.9
5254.15114908 5.33912139439 -1053.24 2110.48
5671.71232542 5.22860703608 -1114.08 2232.16
5044.06199999 5.51470274447 -1070.9 2145.8
4673.66901138 5.51803310036 -995.947 1995.894
5411.61049273 5.1779207885 -1038.43 2080.86
