"D" "sigma" "se.D" "se.sigma" "logLik" "AIC" "maxgrad"
1352.02578969 9.61362733889 170.78 0.61347 -829.41 1662.82 -0.00241389
1226.19286323 9.78553419055 161.9 0.65336 -785.037 1574.074 -0.000430196
1636.3616647 8.95301110969 194.79 0.54146 -866.188 1736.376 -0.00422712
1298.59326873 9.51081847689 167.96 0.62132 -784.325 1572.65 -8.35065e-05
1767.03168341 8.60954858864 194.34 0.47025 -884.453 1772.906 -3.99888e-06
1385.10268606 8.8691717138 176.52 0.57011 -713.181 1430.362 -0.000630602
1250.13172135 10.1206921671 168.5 0.70067 -830.642 1665.284 -5.59316e-05
1444.32251495 9.36311017482 177.86 0.58209 -855.2 1714.4 -1.00028e-06
1635.19400619 8.82455492894 185.66 0.49766 -842.153 1688.306 -3.84147e-05
1720.18953536 8.31579733431 197.6 0.4793 -788.523 1581.046 -2.05329e-05
1430.45931338 9.22371373173 175.14 0.56657 -814.953 1633.906 -0.000156717
1532.38579965 9.01434082257 180.01 0.52796 -835.435 1674.87 -0.00129867
1490.20680444 9.49093358413 181.03 0.58351 -882.884 1769.768 -9.00572e-05
1642.8496575 9.1906229613 192.66 0.54622 -929.955 1863.91 -0.000127883
1611.10203998 9.08111615876 186.35 0.52643 -879.408 1762.816 -1.9819e-07
1602.36245809 8.72936377557 188.44 0.51515 -821.378 1646.756 -3.83409e-06
1239.93043064 9.9870025545 167.21 0.68952 -804.445 1612.89 -1.33082e-07
1268.69588954 9.6431320736 155.94 0.58483 -789.221 1582.442 -0.00100569
1142.19549047 10.2594789379 152.62 0.69348 -786.449 1576.898 -7.13454e-06
1661.24631104 8.38122799692 188.8 0.47161 -796.779 1597.558 -0.000677674
1781.46726791 8.1823710228 198.21 0.45246 -826.141 1656.282 -0.000616569
1359.45411957 9.63197162653 171.94 0.61649 -829.073 1662.146 -1.61685e-07
1365.02945829 9.68236838837 174.89 0.63167 -845.867 1695.734 -6.47541e-06
1217.44262917 10.1217593672 171.16 0.73733 -806.347 1616.694 -0.000144768
1136.76306302 10.1192266041 160.94 0.73625 -747.4 1498.8 -0.000806764
1399.67200822 9.75527593429 182.11 0.653 -886.705 1777.41 -6.96187e-05
1407.74087611 9.13884306604 179.64 0.59233 -774.663 1553.326 -5.49433e-05
1406.47466556 9.48799432988 171.03 0.57753 -849.788 1703.576 -7.76069e-06
1398.65380933 9.5194718426 175.91 0.60688 -829.879 1663.758 -5.78179e-06
