"D" "sigma" "z" "se.D" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1319.7368361 12.2800807268 4.78265919584 163.65 0.83718 0.37314 -839.636 1685.272 -4.00749e-05
1670.19161537 11.1803795263 6.1575181917 181.07 0.66408 0.56165 -773.312 1552.624 -5.28915e-05
1369.09058653 11.8861704473 4.88660996472 168.26 0.77965 0.39193 -802.191 1610.382 -7.70638e-06
1537.02274154 10.5997806486 4.9100859618 181.52 0.67481 0.38674 -775.65 1557.3 -8.17095e-07
1640.67568595 11.5402550423 5.76899068331 182.17 0.70229 0.47395 -828.842 1663.684 -9.80771e-06
1738.3275662 11.136398374 5.36302240839 187.18 0.65068 0.4057 -874.766 1755.532 -4.30957e-05
1654.22784174 10.9691440763 5.27585705144 182.32 0.65296 0.39972 -838.774 1683.548 -3.6464e-06
1692.31812454 10.3905435819 4.82695740281 195.73 0.6485 0.35794 -842.953 1691.906 -1.33651e-05
1684.59678079 11.3978447808 5.84818297122 179.37 0.66991 0.47178 -848.017 1702.034 -3.20639e-05
1800.11385823 10.606524364 4.80328850807 196.76 0.60914 0.35672 -907.505 1821.01 -5.78784e-05
1846.08072555 10.6146929971 5.70377045656 190.4 0.5794 0.46024 -802.69 1611.38 -2.05789e-05
1710.85497776 10.7275288014 4.94285778352 191.12 0.64981 0.37494 -868.193 1742.386 -4.44113e-05
1766.28412704 11.5528920749 5.75827513798 188.24 0.68202 0.43076 -916.597 1839.194 -8.01742e-05
1552.81077444 11.3027103353 5.37323387778 176.02 0.6891 0.42563 -804.488 1614.976 -2.0021e-05
1465.22758869 11.4083028816 5.57928148188 168.55 0.71318 0.44489 -758.449 1522.898 -1.08984e-06
1768.71597808 10.3595293668 4.84234220673 194.62 0.59528 0.36442 -850.688 1707.376 -4.28854e-06
1503.36361345 10.9644772469 5.21539905187 175.19 0.69159 0.42394 -765.135 1536.27 -2.33348e-06
1993.3169161 10.1396623487 5.40786178942 203.57 0.55023 0.41186 -860.241 1726.482 -2.2318e-05
1575.28230172 10.5476689015 5.5636266705 178.61 0.64044 0.50449 -691.147 1388.294 -9.99964e-05
1408.5924747 11.7230188435 4.99288039633 169.15 0.76505 0.40186 -813.05 1632.1 -1.48274e-05
1673.57404374 10.8335233177 5.2874431371 182.97 0.64027 0.40224 -834.421 1674.842 -4.32487e-06
1964.41387904 10.4699296242 6.12399885232 195.45 0.54216 0.54101 -807.479 1620.958 -6.56028e-06
1895.23547892 9.89181170663 5.38159778759 196.69 0.52693 0.45316 -768.816 1543.632 -1.06304e-05
1696.25786235 10.604520797 5.42371672116 187.63 0.63315 0.42926 -791.517 1589.034 -2.80158e-06
1748.86335784 10.9393247551 5.86691058896 183.03 0.6189 0.477 -805.393 1616.786 -7.57498e-07
1757.4488041 10.874435883 5.29138083911 189.26 0.6199 0.40773 -860.168 1726.336 -5.06207e-06
1918.14136404 10.2560898287 4.96547809653 200.7 0.5522 0.35591 -911.091 1828.182 -2.33471e-05
1904.3149801 10.9661306038 6.16894782738 189.37 0.58509 0.52322 -843.487 1692.974 -2.2626e-05
1737.98440745 10.2480274349 5.0411402796 188.25 0.59267 0.38394 -806.22 1618.44 -9.20365e-07
1429.4344703 11.8876510881 5.50735563948 167.43 0.76376 0.45112 -780.63 1567.26 -9.10466e-05
1498.1475913 11.3263407336 5.59822957695 171.25 0.71467 0.46172 -759.938 1525.876 -5.28253e-07
1328.3002885 11.7274630495 5.05562152062 163.27 0.79553 0.40043 -766.755 1539.51 -2.58454e-06
1861.47369772 9.96619088468 5.51739932316 191.22 0.53167 0.43548 -774.192 1554.384 -8.88455e-06
1967.08192922 9.38311958651 4.99532611024 201.47 0.48144 0.37012 -812.878 1631.756 -2.06394e-05
1590.20359735 11.5172514238 5.76700375476 176.35 0.69401 0.47035 -797.053 1600.106 -5.90646e-06
1658.04244794 11.272014953 5.73326791632 180.13 0.65722 0.46585 -818.917 1643.834 -6.43604e-05
1449.67588775 11.7397334324 5.42654670767 170.01 0.74173 0.45229 -784.453 1574.906 -9.16156e-07
1280.0213248 11.4509551544 4.75809781377 166.5 0.80359 0.38975 -733.154 1472.308 -4.40358e-05
1545.78416921 11.2207661226 4.83145689945 180 0.71841 0.36077 -874.196 1754.392 -6.73993e-06
1625.08400284 10.5649887148 5.28185176179 182.17 0.61181 0.43584 -754.445 1514.89 -3.78152e-05
1641.73167558 11.0101859216 5.36381982658 179.51 0.65875 0.41089 -828.942 1663.884 -1.31052e-05
1683.03755144 10.988847506 5.55481327713 186.67 0.65028 0.44894 -803.778 1613.556 -1.48349e-05
1817.1155386 10.9025841878 5.54085215843 189.89 0.61265 0.41472 -888.216 1782.432 -3.96065e-05
1588.25791032 10.4847864875 5.30576522586 181.82 0.62574 0.43072 -729.864 1465.728 -4.88156e-05
1232.78519937 12.5674185511 5.21823642383 153.92 0.87868 0.42215 -785.098 1576.196 -7.96484e-07
1681.19158584 10.851466296 4.78639507556 189.02 0.65289 0.36484 -874.918 1755.836 -1.38615e-05
1602.23436239 11.8351693527 5.41858131545 176.23 0.72337 0.40888 -892.637 1791.274 -1.82563e-05
1521.26479312 11.6191721759 5.111568557 174.29 0.72054 0.39778 -848.126 1702.252 -4.05787e-06
1529.07377368 11.6002725072 5.13079233613 173.53 0.72103 0.4046 -828.132 1662.264 -5.13173e-06
1119.84661136 13.1391922661 5.6208419909 143.97 0.93368 0.514 -704.977 1415.954 -1.20647e-06
1751.69562119 10.811424961 5.83719870568 186.8 0.60458 0.50444 -787.414 1580.828 -1.85113e-06
1585.90631514 10.5060151105 5.24209253344 177.37 0.62068 0.43459 -737.004 1480.008 -4.54565e-07
1595.44840141 11.3040559738 5.65342578201 174.45 0.66679 0.47595 -787.563 1581.126 -1.42261e-05
1890.32638623 9.98214459502 6.1025929594 192.17 0.53095 0.58725 -717.34 1440.68 -5.25425e-06
1295.0318099 11.7999334536 4.91534836594 160.16 0.80447 0.41119 -773.754 1553.508 -5.0338e-05
1687.86397765 10.7505047584 5.44289887972 186.6 0.64085 0.44445 -797.435 1600.87 -3.15372e-06
1475.92172056 11.8010625879 5.35168346257 173.18 0.73681 0.43996 -803.09 1612.18 -2.31179e-05
1197.0670875 12.3016856005 5.5361139237 152.24 0.87754 0.4677 -715.348 1436.696 -6.68904e-05
1661.32122219 10.438081714 5.13729885039 186.73 0.6261 0.41178 -779.745 1565.49 -2.90242e-05
1519.85598169 11.0895729618 5.40404394883 174.98 0.67033 0.45611 -744.092 1494.184 -2.23489e-05
1333.63168131 11.9083589867 4.81977516993 167.79 0.78753 0.39972 -786.38 1578.76 -4.63774e-05
1605.85825731 10.4832166136 4.76962264309 189.98 0.64838 0.36195 -798.34 1602.68 -3.7804e-06
1609.63538125 10.7355939482 4.59804796588 185.57 0.67607 0.33943 -879.222 1764.444 -3.93071e-05
1451.44657218 11.3481089764 6.04024657921 168.24 0.73397 0.51688 -700.472 1406.944 -3.07471e-06
1622.80645107 11.3177046445 5.40115736028 181.08 0.68652 0.42076 -841.613 1689.226 -0.000129953
1646.41772512 10.8936744754 5.43658693697 181.38 0.65811 0.42311 -816.959 1639.918 -1.01185e-07
1811.38598293 11.0875121964 5.83239049 190.93 0.6295 0.49327 -830.505 1667.01 -5.28012e-05
1558.0942288 11.7304366829 5.67097527268 175.93 0.71492 0.47511 -812.987 1631.974 -7.77489e-06
1503.58259009 11.7447578464 5.44532966114 174.73 0.75252 0.43 -818.395 1642.79 -1.06786e-05
1783.67809859 10.2410607159 5.12972332758 192.35 0.56446 0.40079 -800.687 1607.374 -1.96909e-07
1428.4413261 11.0352750575 4.95034148457 171.23 0.72303 0.39616 -767.565 1541.13 -3.44912e-06
