"D" "g0" "sigma" "z" "se.D" "se.g0" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1668.05779468 0.936555647548 11.9588274808 7.03461582486 188.47 0.036424 0.86183 1.2452 -788.839 1585.678 -2.26787e-06
1697.2428315 0.977260173231 10.9042463082 5.20110964962 194.72 0.033695 0.74158 0.60534 -826.577 1661.154 -4.02019e-05
1744.77828538 0.9757534735 11.0234262687 5.86019607778 191.09 0.045449 0.82988 0.8951 -804.005 1616.01 -1.2251e-05
1552.74651732 0.929578415817 12.8856362962 11.294589205 171.25 0.030243 0.94064 3.7003 -716.209 1440.418 -7.63881e-06
1779.7916028 0.957779821158 10.8516924624 5.93112251608 198.72 0.037828 0.72788 0.85957 -773.73 1555.46 -4.51039e-06
1618.90294944 0.933832473351 11.2189557582 6.24655443015 187.86 0.053708 0.85563 1.101 -734.612 1477.224 -6.26887e-06
1498.14379037 0.899226177517 13.0603195958 7.28761674723 179.7 0.04114 1.0766 1.4663 -806.277 1620.554 -7.80347e-05
1450.8526384 0.957778698524 12.2709686871 6.10712857371 176.32 0.034268 0.90761 0.85208 -776.248 1560.496 -3.37031e-05
1834.99356763 0.914821291246 12.3084584764 8.0776256529 194.18 0.04038 0.93617 1.7641 -861.856 1731.712 -9.94675e-05
2049.39700395 0.878635189486 11.9151323852 12.6503259371 244.98 0.046512 0.89323 11.818 -800.583 1609.166 -1.0769e-05
1798.25079313 0.962129799237 11.6166135349 5.67965578829 196.63 0.040387 0.87535 0.74233 -919.449 1846.898 -5.51166e-06
1614.55956927 0.946400185457 11.6863133806 5.17988100614 193.01 0.04452 0.94766 0.66933 -882.335 1772.67 -9.87934e-05
1482.27198784 0.894835207395 13.1260108867 6.5212349614 183.29 0.047354 1.1167 1.1309 -843.114 1694.228 -7.87639e-06
1352.84013562 0.931711628568 13.1654667496 5.41172424198 173.7 0.038266 1.0022 0.66901 -858.929 1725.858 -1.64693e-05
1386.98664245 0.933766971977 13.0320593927 5.93868043074 173.69 0.036078 1.0322 0.79567 -820.174 1648.348 -1.29112e-05
1733.33989131 0.982805735918 10.7117121695 6.14903419249 197.6 0.044924 0.71453 1.048 -730.165 1468.33 -1.33999e-05
1497.0195273 0.882633934115 13.5132731566 7.30791071918 183.08 0.041138 1.0517 1.437 -829.387 1666.774 -8.08347e-06
1562.43918158 0.910547044557 11.9913665237 6.12600742105 192.96 0.046793 0.95569 1.0516 -783.526 1575.052 -1.92716e-05
1800.28752096 0.960276754631 11.1505975605 6.3068618186 192.24 0.037017 0.78148 0.92321 -820.693 1649.386 -1.6353e-05
1484.88123679 0.999999932704 11.4297300413 5.43801920606 170.8 6.7292e-05 0.71149 0.45897 -770.309 1548.618 -1.60392e-06
1423.96374108 0.921670937471 11.9612129072 5.8215210628 184.07 0.052142 1.0179 0.97187 -740.413 1488.826 -5.37206e-05
1616.1043531 0.891450120666 12.9973621089 8.04035988209 193.05 0.039663 0.93123 1.8372 -796.857 1601.714 -3.39674e-05
1782.57201947 0.904834863927 11.8928255326 8.24735402046 197.27 0.048951 0.94059 2.3888 -781.573 1571.146 -6.99293e-05
1558.54180338 0.993482751435 10.4621088928 5.65358846949 184.57 0.028428 0.70552 0.76119 -660.489 1328.978 -2.425e-05
1481.75309652 0.890212262158 12.8198826397 7.6198869279 176.95 0.047258 1.0907 1.7014 -760.353 1528.706 -4.15828e-05
1869.05847392 0.927026057503 11.3127318522 6.84984736016 200.08 0.040337 0.79513 1.1961 -819.843 1647.686 -9.48859e-05
1666.14622091 0.846147637562 12.8900383988 11.3451636709 191.56 0.048155 1.3052 5.7574 -771.289 1550.578 -1.44306e-06
1577.17746293 0.921407770928 12.0370761235 5.4655540066 199.74 0.050578 0.94145 0.82625 -865.007 1738.014 -3.53488e-06
1754.36217663 0.904310630498 12.2704954985 7.40999050378 196.34 0.044956 0.9873 1.6545 -852.761 1713.522 -2.09835e-05
1794.63689108 0.982761057242 11.0368767629 5.64354978799 199.66 0.047368 0.74255 0.80759 -859.71 1727.42 -4.42401e-05
1726.27042455 0.982422312995 12.0379435478 8.05140821518 181.66 0.02619 0.74486 1.4777 -765.21 1538.42 -7.03642e-06
1640.89342312 0.949018915286 12.3465221657 7.45872941816 179.84 0.033591 0.84394 1.2757 -802.924 1613.848 -1.80576e-05
1506.20877155 0.953930214781 11.6212057057 5.53954249329 181.18 0.047762 0.94117 0.7903 -785.425 1578.85 -7.77021e-07
1398.70016861 0.96961981345 12.4802888858 6.13970245485 169.94 0.03736 0.91988 0.89068 -773.378 1554.756 -5.58447e-05
1579.52304961 0.946936388888 12.3340242909 6.68296093001 181.87 0.037958 0.91333 1.098 -801.899 1611.798 -8.60473e-05
1813.55163768 0.932287529489 12.323896796 7.99683765964 190.26 0.032325 0.87206 1.5844 -853.192 1714.384 -5.24136e-06
1905.08406758 0.921040160831 11.5957464576 6.90593667831 215.38 0.0413 0.76926 1.3736 -848.886 1705.772 -2.14421e-05
1563.73331006 0.999999924838 11.3496330345 6.49065485765 173.12 7.516e-05 0.67087 0.6432 -710.136 1428.272 -1.03453e-06
