"D" "ssb0" "ssb1" "sigmass" "sigmatoa" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1691.17242288 158.571767667 2.29255989806 8.90475413136 0.00167773841486 127.09 0.9444 0.091339 0.33521 0.00010026 -1069.69 2149.38 -5.57015e-06
1848.80712037 160.995892209 2.51816690057 8.97428211303 0.00181802445876 133.89 0.97748 0.096582 0.32565 0.00010763 -1127.59 2265.18 -9.88067e-05
1806.99188099 158.906225895 2.32780048229 8.68363401173 0.00201345616846 132.81 0.93927 0.089782 0.31808 0.00012835 -1148.18 2306.36 -1.24983e-05
1797.2017997 161.209891211 2.50850827786 9.03589608928 0.00163846660683 131.25 1.0086 0.09492 0.34345 0.00010456 -1141 2292 -4.1021e-06
1633.1914321 159.325455666 2.42558471957 8.66722623887 0.00169518504789 127.25 1.0262 0.098599 0.3562 0.00011172 -990.494 1990.988 -5.68563e-06
1557.67006288 158.869761857 2.3293837099 8.56244770801 0.00207827444143 123.75 1 0.097733 0.34993 0.00014629 -981.827 1973.654 -0.00207647
1832.45553919 159.603404548 2.48076982593 9.42905743309 0.00195137048187 135.21 0.99642 0.098624 0.34905 0.0001219 -1152.38 2314.76 -4.89405e-05
1713.72799743 160.148142454 2.48503039531 8.9806940162 0.00190811235701 128.39 0.91901 0.094187 0.32436 0.00011448 -1018.91 2047.82 -7.58724e-06
1827.20070637 159.924828525 2.46076968739 9.10932939752 0.00197145558212 134.65 0.98053 0.096826 0.33509 0.0001192 -1135.31 2280.62 -2.24585e-05
2002.99173433 158.991326414 2.42379025905 8.99047544526 0.00194752216021 142.25 0.93181 0.093583 0.32862 0.000122 -1237.94 2485.88 -0.00208015
1662.88729061 160.646550803 2.50923824092 9.19967503928 0.00198633852699 128.1 1.0284 0.10171 0.34587 0.00012886 -1032.9 2075.8 -5.95751e-06
1894.2117357 159.135372866 2.37761719255 8.6549710517 0.0017586044232 133.08 0.82475 0.084048 0.29291 9.3415e-05 -1102.01 2214.02 -0.000133567
1910.14447416 159.639155229 2.37573333957 8.68453170342 0.00173499618006 133.01 0.83569 0.082875 0.29061 9.4346e-05 -1134.21 2278.42 -7.51746e-06
2010.45058205 158.023464281 2.29499242535 8.79680695439 0.00188232303633 141 0.88178 0.086142 0.30623 0.00010983 -1257.54 2525.08 -0.00361779
1586.02741377 159.620768558 2.32882518231 8.89426550307 0.00169882611867 121.2 0.97912 0.093952 0.32794 9.9681e-05 -999.887 2009.774 -6.0195e-06
1738.30717199 162.700991357 2.70396647072 9.88137297752 0.00176286037434 130.54 1.0661 0.10751 0.37538 0.00010908 -1107.81 2225.62 -6.26725e-06
1752.99130084 160.37318107 2.35632844953 8.80940022907 0.00175411355996 124.53 0.86107 0.084068 0.30061 9.7082e-05 -1093.24 2196.48 -3.74264e-06
1933.45445077 160.632514376 2.44179645074 8.80424629413 0.00173656709568 133.88 0.88776 0.086174 0.30881 0.00010373 -1235.68 2481.36 -3.48791e-05
1915.99919246 160.375550624 2.49840924798 9.03249561893 0.00192717058978 137.14 0.95031 0.094868 0.32686 0.00011507 -1169.7 2349.4 -9.45661e-05
1585.82985426 160.905245596 2.47238675048 9.242009485 0.00190237192665 122.13 1.0136 0.097882 0.34757 0.00011511 -1012.84 2035.68 -8.31375e-06
1789.50131894 160.00988136 2.33662936156 8.4700655534 0.00209465315648 127.24 0.87506 0.083513 0.29365 0.00011992 -1125.08 2260.16 -0.000361403
