"D" "g0" "sigma" "se.D" "se.g0" "se.sigma" "logLik" "AIC" "maxgrad"
1480.99950491 0.999999990633 9.36445431019 181.45 9.3676e-06 0.58091 -846.286 1698.572 -4.75892e-06
1445.68532225 0.999999991311 9.33399914957 179.38 8.6906e-06 0.5863 -828.13 1662.26 -0.00109694
1220.87261613 0.999999992679 9.61952684155 156.46 7.3202e-06 0.61387 -759.777 1525.554 -0.00116674
1588.06460295 0.999999990192 8.73077664219 188.6 9.808e-06 0.5216 -795.024 1596.048 -0.000368982
1431.44523395 0.999999989111 8.84746658685 181.66 1.0887e-05 0.56912 -754.632 1515.264 -2.76023e-05
1283.12369981 0.999999991782 9.83872749488 162.28 8.2175e-06 0.62501 -829.417 1664.834 -0.000315058
1180.84521431 0.999999992153 10.1969736645 159.24 7.8466e-06 0.70089 -802.798 1611.596 -0.000207149
1480.00972704 0.999999992708 9.50678637343 178.02 7.2925e-06 0.5759 -895.658 1797.316 -0.000199213
1562.21429178 0.999999991645 8.97927960167 185.35 8.3553e-06 0.53548 -830.998 1667.996 -3.54902e-06
1482.04254296 0.999999991834 9.88236303546 184.92 8.1661e-06 0.63268 -942.923 1891.846 -5.85777e-05
1387.08066071 0.999999989478 9.99678350628 180.32 1.0521e-05 0.66955 -896.645 1799.29 -0.000413189
1258.58358017 0.999999990451 10.2084493734 169.72 9.5488e-06 0.70895 -861.065 1728.13 -4.05189e-05
1179.33525334 0.999999990047 10.8154111113 167.63 9.9531e-06 0.80543 -875.136 1756.272 -2.61786e-05
1157.90220861 0.999999991571 10.6404896282 158.34 8.4294e-06 0.74942 -841.349 1688.698 -1.08625e-05
1469.78164493 0.999999991266 8.85606423163 179.38 8.7337e-06 0.54181 -758.02 1522.04 -2.68107e-05
1225.79873685 0.99999999042 10.3680313845 168.65 9.5807e-06 0.73815 -850.639 1707.278 -7.52092e-05
1348.05951563 0.999999989503 9.53025080854 175.12 1.0497e-05 0.63083 -799.234 1604.468 -3.4199e-05
1534.11439671 0.999999992402 9.03143737028 177.72 7.5986e-06 0.51858 -848.258 1702.516 -0.000258801
1279.58335115 0.999999991226 9.72534444222 166.38 8.7737e-06 0.64026 -794.81 1595.62 -1.04585e-07
1221.48146585 0.999999988349 9.72629723646 169.69 1.165e-05 0.69432 -754.983 1515.966 -0.00421282
1309.21099058 0.999999990629 9.89917975799 172.6 9.3698e-06 0.66831 -822.303 1650.606 -0.000503241
1484.15837217 0.999999991483 8.99832429094 179.58 8.5172e-06 0.54601 -809.863 1625.726 -0.00062766
1371.0197091 0.999999989384 8.73874113609 177.64 1.0617e-05 0.57305 -683.191 1372.382 -7.58882e-05
1276.67599398 0.999999990307 9.52797715552 165.51 9.6928e-06 0.62254 -781.829 1569.658 -0.000404376
1617.75661736 0.999999991228 8.79217332591 187.22 8.772e-06 0.50841 -843.852 1693.704 -9.14476e-07
1437.74585292 0.999999990595 8.92452622575 173.93 9.4063e-06 0.5369 -795.139 1596.278 -8.55725e-06
