"D" "g0" "sigma" "z" "sigmatoa" "se.D" "se.g0" "se.sigma" "se.z" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1656.85186621 0.956361025482 10.8683260592 6.18604762986 0.00201810492206 142.35 0.022121 0.34678 0.6482 0.0001344 558.092 -1106.184 -2.34382e-05
1449.79351909 0.912240404334 12.1035691465 6.42139913974 0.00176787539607 127.46 0.02627 0.36965 0.69233 0.00012707 600.741 -1191.482 -3.32638e-05
1831.37084218 0.926267849352 11.0721513818 5.36293378983 0.0020412118884 153.19 0.029013 0.42312 0.5752 0.00012625 742.217 -1474.434 -7.74002e-06
1529.62945039 0.940990361974 12.0523578054 6.17032391544 0.00203612191552 125.17 0.025748 0.51134 0.6741 0.00012361 813.028 -1616.056 -0.000173238
1515.06526809 0.965023978271 11.3498987644 5.35955230305 0.00171677355665 126.79 0.016298 0.32095 0.39521 9.955e-05 799.293 -1588.586 -1.05689e-05
1647.20254004 0.928244844466 12.2923765893 6.94373146286 0.00190725128468 130.27 0.02124 0.35195 0.68809 0.00011796 665.643 -1321.286 -1.17511e-05
1840.08958529 0.999999980085 10.3765839187 5.19745618556 0.00165202437286 147.72 1.9915e-05 0.24948 0.31424 0.00010851 602.445 -1194.89 -2.93871e-05
1507.25955995 0.966717893365 11.3766113912 5.92198729798 0.0017942048347 126.32 0.019124 0.33107 0.48478 0.00012207 634.782 -1259.564 -4.07211e-05
1664.29028523 0.978779594049 11.1700775932 5.0577272364 0.0017629229021 137.19 0.016751 0.37909 0.38797 0.00010967 632.592 -1255.184 -6.27051e-05
1429.77625489 0.884580064608 12.5491703689 6.92581966706 0.0018964179449 124.01 0.029795 0.64992 0.97657 0.00012579 607.614 -1205.228 -2.46861e-05
1565.82401384 0.91833958163 11.3424366208 5.85897903799 0.00167044641453 137.32 0.028614 0.49692 0.59608 0.00011418 509.394 -1008.788 -6.65159e-05
1454.47940765 0.914313349983 11.6395852999 6.04192757232 0.00180954830009 125.87 0.024504 0.36279 0.58302 0.00011255 689.778 -1369.556 -7.27136e-06
1548.43772466 0.976517735653 11.0024964228 5.12892281936 0.00181436602964 131.4 0.013918 0.30079 0.35443 0.00011277 697.783 -1385.566 -5.64726e-05
1595.72164062 0.94888757655 11.6898700156 5.96067644141 0.00185178480883 134.88 0.020481 0.41587 0.53559 0.00011355 604.272 -1198.544 -0.000135186
1557.2261731 0.999999981786 10.8134500554 4.90028331273 0.00171126099957 134.32 1.8211e-05 0.29884 0.32521 0.00011775 551.67 -1093.34 -5.73282e-05
1514.66650743 0.951903537705 11.5712884147 6.82546379406 0.00189903294201 128.28 0.02 0.39648 0.71741 0.000135 599.559 -1189.118 -5.38933e-05
1568.18064896 0.928643357164 11.6080520183 5.63164059506 0.00189207118861 133.79 0.023513 0.38794 0.50899 0.00011721 698.276 -1386.552 -6.09207e-06
1517.87716327 0.950294570479 11.5874925607 4.97579002976 0.00180114532178 133.29 0.024925 0.42271 0.44591 0.00012015 579.16 -1148.32 -1.59309e-05
1531.79509786 0.978210563569 11.2319107848 4.99863139068 0.00174563565269 134.02 0.018039 0.36047 0.39732 0.00011241 645.369 -1280.738 -7.32087e-05
1663.76337724 0.974936045783 10.5230023943 5.88027690908 0.00184852719243 135.72 0.014089 0.30263 0.45634 0.00012144 735.283 -1460.566 -7.29002e-06
1603.43016925 0.930579994558 11.7732339033 5.99971198804 0.00188888110153 136.64 0.024341 0.44402 0.60413 0.00013256 496.769 -983.538 -3.34867e-06
1428.87838839 0.9356605115 11.9509802437 5.90644383844 0.00200254916538 124.74 0.024158 0.45858 0.56456 0.00014024 515.348 -1020.696 -4.85802e-05
1506.80469775 0.966305262951 11.4442340574 5.27670951882 0.0017411567077 128.74 0.028161 0.47155 0.55491 0.00010903 763.036 -1516.072 -1.54e-05
1461.0724292 0.947504024422 11.7527814941 5.47746100496 0.00175889955933 126.35 0.020804 0.38518 0.49326 0.00010357 755.189 -1500.378 -5.02529e-05
1712.27144656 0.960679856042 11.4261192786 5.60592503752 0.00203520527653 138.95 0.021811 0.37126 0.5032 0.00011773 776.514 -1543.028 -8.90599e-05
1674.57110063 0.971823096331 10.8941244599 5.19829140285 0.00173579962626 143.84 0.023325 0.4025 0.48098 0.00010676 620.176 -1230.352 -1.13432e-05
1881.84640897 0.934939929651 11.6090177303 6.02602771729 0.00193255887404 145.74 0.020956 0.36525 0.53813 0.00011448 734.521 -1459.042 -0.000277057
1718.7918302 0.927399706228 11.7582190438 5.73058613052 0.00182950646854 142.74 0.022782 0.36489 0.52509 0.00011154 644.468 -1278.936 -3.75036e-05
1596.28388066 0.936969406821 11.5772103656 5.43692036316 0.00203726896464 136.2 0.022499 0.38589 0.48603 0.00012163 708.709 -1407.418 -2.08194e-05
1628.89349208 0.966521576208 11.2520462489 5.09118122035 0.00175231364419 139.04 0.019631 0.34991 0.44168 9.9143e-05 728.76 -1447.52 -8.27082e-05
1547.04101221 0.945504634463 11.6190562643 5.35812326204 0.0021648414672 132.05 0.022021 0.43698 0.50212 0.00013376 748.213 -1486.426 -2.50756e-05
1636.79619123 0.986704170957 11.0879934375 6.08771701158 0.00191088416202 135.04 0.011503 0.34367 0.5016 0.00012201 584.488 -1158.976 -1.78933e-05
1551.02375343 0.922006020297 12.2037056816 5.86604935325 0.00195765788025 129.66 0.023357 0.46512 0.59416 0.00011531 713.152 -1416.304 -5.24951e-06
1531.55372712 0.940852211078 11.4997074422 5.41802067887 0.00168428379577 133.47 0.022271 0.37307 0.4567 0.00010298 592.109 -1174.218 -4.73595e-05
1732.90915226 0.951430231458 11.0304087045 5.65386105599 0.00191280655759 140.42 0.021012 0.37165 0.46871 0.00012622 717.798 -1425.596 -2.70159e-05
1461.33912423 0.949851791546 11.5815568585 5.29960984617 0.00205267373654 128.21 0.024514 0.45643 0.4975 0.00013998 603.686 -1197.372 -3.41463e-05
1370.98324897 0.922129576512 12.0761874005 5.59646095345 0.00184910170509 123.7 0.025687 0.46543 0.55467 0.00012361 560.728 -1111.456 -4.61403e-05
1614.05545073 0.93990208088 11.8182719305 5.9883272887 0.00188720926664 133.51 0.019905 0.38592 0.52221 0.00011516 633.966 -1257.932 -1.00357e-05
1614.81050255 0.937498860619 11.8489960951 6.46144119539 0.0018421255743 134.2 0.032471 0.72609 0.999 0.00011787 641.803 -1273.606 -5.43711e-06
1367.38984108 0.984759343941 11.2346027537 5.39820522092 0.00178361091452 126.48 0.01542 0.38416 0.44934 0.0001254 453.433 -896.866 -3.7432e-06
1621.24495871 0.961978632748 10.5779452361 5.37452706402 0.00193235790147 136.48 0.019745 0.33778 0.42702 0.00012212 629.236 -1248.472 -2.08147e-05
1745.91635551 0.94855101994 11.1815632136 5.83724722018 0.00199445277516 142.45 0.023149 0.35156 0.50364 0.0001323 593.291 -1176.582 -5.64058e-05
1491.68394192 0.922233953972 12.0299009917 6.23474896754 0.00197083050435 124.25 0.022467 0.39231 0.53785 0.00013025 644.096 -1278.192 -4.76178e-05
1676.26188246 0.943629793351 11.2981405189 5.24884570154 0.00178087137814 140.45 0.022501 0.35129 0.42983 0.00011245 625.004 -1240.008 -1.26561e-05
1686.87313353 0.959071263373 11.559863409 5.87015602837 0.00187534935914 133.3 0.01678 0.38702 0.48654 0.00010908 765.32 -1520.64 -0.00016883
1703.01937785 0.954405250592 11.489690338 5.60913644282 0.00199817920543 138.64 0.023341 0.42416 0.5024 0.00013501 652.105 -1294.21 -1.32379e-05
1752.69868043 0.933204158877 11.9129517502 7.61503733624 0.00208477127228 135.42 0.019994 0.40392 0.89566 0.0001307 722.168 -1434.336 -8.08646e-05
1672.75287113 0.931010166182 11.9990381861 6.90577899867 0.00199026044534 130.67 0.020892 0.36234 0.69788 0.00012377 770.906 -1531.812 -4.50287e-05
1443.12938204 0.96701149741 11.1612635551 4.79860295628 0.00189342095891 130.96 0.026653 0.49169 0.45268 0.00012584 608.147 -1206.294 -6.77655e-06
1498.24586904 0.985567820837 11.3218566085 5.42023904505 0.00206353673593 132.83 0.02093 0.33609 0.49959 0.00012635 793.573 -1577.146 -2.2183e-05
1599.70015329 0.978829314758 11.2584164556 5.42810154618 0.00190904138608 132.37 0.013378 0.30832 0.38888 0.00012 741.587 -1473.174 -4.23018e-05
1943.75254195 0.95440409061 10.6397266759 5.77870333278 0.00196718347723 149.55 0.021275 0.38026 0.55337 0.00012278 807.83 -1605.66 -1.6259e-05
1773.20949782 0.947079526111 11.2405703178 5.57229298219 0.00178242123283 146.61 0.020624 0.36655 0.4611 0.00011164 667.201 -1324.402 -1.66368e-05
1534.19335524 0.965834653712 11.7486892556 6.77159041823 0.00184286764182 128.61 0.01856 0.32246 0.67199 0.00011736 649.553 -1289.106 -2.95022e-05
1755.46451577 0.918050859634 12.0558199978 6.57648949901 0.00196596453006 134.96 0.021402 0.37856 0.63081 0.00011438 844.573 -1679.146 -5.21593e-05
1535.28761409 0.948137787665 11.9139647983 5.63799701721 0.00177672082047 129.27 0.019168 0.37595 0.47878 0.00010801 663.341 -1316.682 -9.1522e-05
1638.57481493 0.928865392377 11.669513864 5.80324201838 0.00195344080356 141.64 0.027209 0.38095 0.61008 0.00011921 711.41 -1412.82 -9.61267e-05
1656.02455586 0.97874122902 11.1659590125 5.2613286005 0.00195782055012 139.19 0.014561 0.33329 0.3979 0.00011934 631.327 -1252.654 -0.000313938
1767.55113184 0.914686439149 11.9840456768 6.83584195098 0.00202202889987 141.61 0.027229 0.4157 0.79565 0.0001453 474.087 -938.174 -4.49843e-05
1879.21633978 0.935453437432 11.6499969321 6.41239741476 0.00179115437482 141.71 0.023247 0.37825 0.62862 0.00010728 774.282 -1538.564 -4.01508e-05
1544.26557224 0.925549663229 11.730425646 5.84567959691 0.0017380586359 129.8 0.025528 0.42099 0.56694 0.00011049 652.032 -1294.064 -7.51804e-05
1579.25578671 0.954092883383 11.7119092072 5.85617059934 0.0018612503816 127.54 0.017581 0.33263 0.45387 0.00010803 790.728 -1571.456 -2.416e-05
1601.60376132 0.975595852082 11.0466562819 5.2278218811 0.00196991258861 133.95 0.015645 0.35767 0.40024 0.00012634 659.218 -1308.436 -9.14843e-06
1446.87390016 0.966967151727 11.6621093962 5.60440673641 0.00178499203196 124.14 0.022263 0.43306 0.54764 0.00011179 695.14 -1380.28 -3.90149e-06
1519.80663762 0.944782836001 11.5727533932 5.74289831679 0.00186518034906 131.65 0.026942 0.53818 0.61233 0.00012507 556.835 -1103.67 -1.29321e-05
1515.93129148 0.932413396701 12.0012430351 5.90551585565 0.00202802003524 124.38 0.020263 0.37882 0.51126 0.00011719 852.91 -1695.82 -4.06008e-05
1706.74975226 0.973767918214 11.0074111328 5.69236788893 0.00190699112057 139.03 0.015145 0.3345 0.44116 0.00012072 652.287 -1294.574 -3.13012e-05
1789.67257092 0.944272654599 11.5365090889 6.10781331891 0.00181768081697 137.91 0.018433 0.32606 0.4646 0.00010688 813.835 -1617.67 -7.50608e-05
1547.92045936 0.937741472421 12.1252079639 6.41883641943 0.00196894870408 132.16 0.033666 0.61062 0.97286 0.00014412 518.771 -1027.542 -0.000113064
1712.53219779 0.969210958279 11.7349978664 5.88122551151 0.00190974568381 135.73 0.020943 0.44914 0.57267 0.00011241 790.775 -1571.55 -4.10754e-05
