"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
1681.68777605 158.934071741 -2.51792945012 8.26359527286 -2240.99 4489.98 -4.68349e-05
1570.94468445 160.313349141 -2.31617895415 8.73269419812 -2598.18 5204.36 -4.76354e-06
1751.12328713 159.56418435 -2.351910543 8.77025318204 -2592.83 5193.66 -1.57494e-05
1563.27417963 160.058666568 -2.23747545014 8.381239659 -2551.98 5111.96 -8.44757e-06
1580.77612543 162.447059257 -2.59562598894 8.22674202544 -2442.07 4892.14 -7.94224e-05
1849.29170447 159.284573317 -2.51839497018 9.16178331969 -2431.76 4871.52 -2.54113e-06
1673.95101101 158.265288605 -2.43563914301 9.49757454209 -2328.04 4664.08 -7.70795e-05
1545.17492977 162.185807053 -2.43299732249 9.12950789958 -2655.94 5319.88 -0.000228257
1706.34904774 161.401247643 -2.59127458601 9.24698568274 -2615.63 5239.26 -5.01934e-05
1882.25091356 161.297418654 -2.56908567483 9.2595585142 -2869.49 5746.98 -0.00012846
1874.81796479 160.151385563 -2.53773470942 8.90176603323 -2586.84 5181.68 -8.65856e-06
1865.56772408 162.534825461 -2.5307673829 9.4541347039 -2988.52 5985.04 -4.69561e-05
1749.63289511 158.99659183 -2.27282273723 9.31656441569 -2767.42 5542.84 -1.85262e-06
1650.33270801 160.591695509 -2.39592598049 9.68914774812 -2744.11 5496.22 -4.99291e-05
1580.27139055 158.98788048 -2.15039310281 8.98445879272 -2733.68 5475.36 -7.77686e-06
1641.51123783 160.031732517 -2.3456785179 9.14710321069 -2716.94 5441.88 -3.06928e-06
1805.7629999 159.144068463 -2.54717380795 8.9069285151 -2362.84 4733.68 -6.33007e-05
1559.55209527 158.580237088 -2.16404525371 9.1887947395 -2679.91 5367.82 -0.000559917
1663.18207976 160.846466038 -2.47399366219 9.12334102428 -2480.3 4968.6 -2.52931e-05
1742.77614597 160.672869202 -2.44736803235 8.54647027174 -2671.44 5350.88 -1.4109e-05
1536.99031589 160.493284614 -2.34748149414 8.99445123109 -2481.94 4971.88 -3.86301e-05
1520.44247463 159.37449517 -2.33685377165 9.1106518861 -2340.43 4688.86 -1.19688e-06
1718.97088084 159.438522471 -2.33888794615 8.30734708852 -2543.28 5094.56 -1.32102e-05
1634.17769069 161.101676797 -2.47100935953 9.31553204766 -2543.33 5094.66 -6.76248e-05
1463.01814517 160.126574322 -2.38431652506 8.25130323432 -2062.23 4132.46 -1.3113e-05
1580.77752135 160.025179123 -2.41612072985 8.91255988869 -2445.56 4899.12 -1.34086e-05
1948.70482305 159.615348542 -2.5599551336 8.75788792916 -2596.87 5201.74 -3.96e-05
1498.94755792 160.047730309 -2.33529751949 9.24405348913 -2492.28 4992.56 -1.99399e-05
1769.38596108 158.581702663 -2.27246192687 8.76969182455 -2683.8 5375.6 -2.00704e-06
1737.85076117 159.464775289 -2.35627580049 9.23319281948 -2784.61 5577.22 -2.19327e-08
1855.11729996 159.127940641 -2.41836559338 9.62629734315 -2764.16 5536.32 -3.66256e-05
1860.30832995 161.305796695 -2.59403725946 7.68322885188 -2573.51 5155.02 -0.00161386
1703.02068775 159.849840978 -2.38959407201 8.67991225935 -2676.31 5360.62 -0.000194133
1642.55413877 158.087189576 -2.30380029666 9.43519403178 -2514.06 5036.12 -3.89648e-07
1376.84950044 160.33348052 -2.17800266026 8.76842967453 -2590.2 5188.4 -1.7198e-05
1485.4942438 161.869438869 -2.3254221687 9.28414021423 -2679.65 5367.3 -2.09459e-05
1784.04451303 161.829163331 -2.50375415161 9.06268889965 -2882.5 5773 -4.90085e-06
1814.90030413 159.613294849 -2.38492821321 9.28207579033 -2745.74 5499.48 -7.84116e-05
1718.30321084 161.07432357 -2.6241991038 8.06514149045 -2335.95 4679.9 -9.82995e-05
1878.2946631 160.40468061 -2.49603550232 9.2103084849 -2919.07 5846.14 -0.000162286
1671.34733614 158.08776585 -2.24773144795 9.11216624536 -2593.63 5195.26 -0.000112009
1654.84329003 162.012359716 -2.47030205175 9.13673054942 -2714.24 5436.48 -2.53729e-05
1685.76912991 160.103801077 -2.35000549718 9.36916154671 -2636.59 5281.18 -8.7428e-05
1950.96354914 159.238789264 -2.49281309375 8.77593576117 -2501.23 5010.46 -0.000243315
1948.70970729 160.559526054 -2.48576757764 8.75056774609 -2920.94 5849.88 -1.24517e-05
1758.37574878 160.82121698 -2.55952688185 8.4920348714 -2507.96 5023.92 -0.00111435
1575.67987531 159.346833596 -2.22692747675 8.3068273896 -2672.79 5353.58 -4.95106e-05
1700.26329126 160.011436533 -2.39944076647 8.71682694587 -2579.49 5166.98 -0.00170419
1626.69518281 160.771729642 -2.50098602112 8.98157409963 -2510.15 5028.3 -0.000190053
1632.75025158 159.99069227 -2.4466417308 9.27743450243 -2421.42 4850.84 -5.67382e-05
1614.0004399 160.250440243 -2.36674300277 8.7079935345 -2768.76 5545.52 -6.4233e-05
1793.31492818 162.38696449 -2.68234557292 9.53441964313 -2620.6 5249.2 -0.000232534
1704.59355888 160.389623758 -2.33436904345 9.10536901816 -2894.33 5796.66 -7.60556e-06
1664.32637359 160.834032895 -2.49626376125 9.42097739537 -2429.48 4866.96 -3.87264e-06
1831.0311596 161.417140475 -2.46489404037 8.45633641773 -2835.7 5679.4 -6.01197e-06
1691.7345536 160.332008469 -2.49749840953 8.64100984987 -2411.12 4830.24 -7.51928e-05
1569.35226201 161.122977238 -2.38999093957 9.10566057923 -2781.28 5570.56 -1.45796e-05
1765.09827915 160.119525765 -2.41265698234 8.73479094319 -2704.98 5417.96 -2.5645e-05
1566.89481145 160.082419419 -2.32713725742 8.92395828623 -2555.03 5118.06 -1.4058e-06
1778.94270044 160.64351541 -2.60205319593 8.54084860398 -2323.83 4655.66 -0.00031498
1762.98899551 159.870574365 -2.54021046063 9.19898182593 -2538.71 5085.42 -5.0148e-06
1507.72595572 159.556864737 -2.31179095233 8.91975967092 -2409.24 4826.48 -0.000150103
1663.33734425 161.258201602 -2.47086502379 8.9477053269 -2531.6 5071.2 -0.000926777
1758.46501283 162.231079787 -2.50956708615 8.99980448416 -2874.24 5756.48 -3.43104e-06
1442.55225761 160.489838928 -2.30028607709 9.30376328633 -2483.73 4975.46 -3.21358e-05
1505.72141994 160.861785978 -2.356318442 8.76484078016 -2431.59 4871.18 -1.58406e-06
