"D" "shape" "scale" "logLik" "AIC" "maxgrad"
1741.04455071 -2.27337904963 -0.185899174097 -800.938 1607.876 -1.69354e-05
2025.92783534 -2.48946771821 -0.212775930379 -829.971 1665.942 -0.00017331
1606.38433496 -2.69905731714 -0.202489839698 -802.425 1610.85 -1.3117e-06
1509.29359978 -2.33029369414 -0.177153873689 -770.698 1547.396 -5.6685e-05
1795.6439127 -2.3995737686 -0.202527999157 -772.948 1551.896 -9.85111e-05
1733.76001572 -2.59075271381 -0.20240450827 -834.282 1674.564 -3.42559e-05
1719.31480049 -2.20454953037 -0.183544276824 -772.023 1550.046 -0.000100128
1448.29354974 -2.50790443362 -0.186962254545 -754.88 1515.76 -9.65644e-05
1817.34744417 -2.49327844534 -0.193223114317 -900.035 1806.07 -1.37288e-05
1289.37198622 -2.38249732651 -0.167780161298 -760.65 1527.3 -7.6259e-06
1748.99438732 -2.46088460459 -0.205008994613 -752.885 1511.77 -0.00012648
1816.66436622 -2.41889915186 -0.209341967433 -754.617 1515.234 -2.19979e-05
1748.68177253 -2.77887027357 -0.213024280085 -851.022 1708.044 -7.93758e-05
1571.24373488 -2.10147335315 -0.157617030438 -865.122 1736.244 -2.89815e-06
1646.57546206 -2.71300266155 -0.197294224368 -865.097 1736.194 -9.91135e-05
1706.39880718 -2.4661805034 -0.2070685709 -737.906 1481.812 -4.7085e-06
1752.2780767 -2.73763892632 -0.210620781949 -848.211 1702.422 -1.81521e-05
1758.5211413 -2.20269787772 -0.177887565718 -855.852 1717.704 -4.47321e-05
1625.97845358 -2.21037744752 -0.175206004221 -813.649 1633.298 -3.24948e-05
1999.09552195 -2.29696802792 -0.19458571855 -884.319 1774.638 -4.41766e-07
1710.35068199 -2.17273381654 -0.188739085714 -742.425 1490.85 -2.45603e-07
1844.20790224 -2.15445955581 -0.187192855879 -789.393 1584.786 -3.04573e-05
1434.91213864 -2.70521390033 -0.19733408962 -757.533 1521.066 -1.46664e-05
1922.23456552 -2.1960240386 -0.204215656715 -715.819 1437.638 -3.59982e-06
1861.19792033 -2.13503645621 -0.193371572185 -746.721 1499.442 -7.58708e-05
1978.06287099 -2.18736490508 -0.186695970288 -865.479 1736.958 -5.371e-06
1518.28473851 -2.63134708763 -0.1936996489 -803.955 1613.91 -7.88974e-05
1873.97913317 -2.19031148936 -0.18123665736 -869.759 1745.518 -7.91897e-07
