"D" "sigma" "z" "sigmatoa" "se.D" "se.sigma" "se.z" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1573.39031723 9.78897937682 4.28773100276 0.00192098480356 144.74 0.27103 0.26708 0.00013444 570.764 -1133.528 -0.0012321
1716.5919987 10.4778915496 4.59535191916 0.00191392893971 141.36 0.27897 0.26781 0.00011596 701.349 -1394.698 -7.50214e-06
1856.74276066 10.2969400009 4.94448052246 0.0018676738186 145.33 0.2266 0.26378 0.0001155 829.307 -1650.614 -8.81508e-05
1584.72317211 10.221800573 4.321134949 0.00173304488018 140.88 0.30224 0.2526 0.00011427 574.515 -1141.03 -0.00404246
1325.52611789 10.2708390592 4.02642335692 0.0018090194655 127.08 0.2776 0.2408 0.00011249 651.857 -1295.714 -1.30462e-05
1522.41455207 10.9964175982 4.83404400342 0.0019721520899 127.92 0.29755 0.29034 0.00011743 751.825 -1495.65 -6.27361e-05
1765.92431146 10.2333867782 4.81943011309 0.00215980031153 143.58 0.23184 0.27307 0.00014337 854.11 -1700.22 -7.89835e-05
1270.04329959 10.8373367756 4.56659013747 0.0018597313559 122.6 0.36219 0.31314 0.0001325 440.466 -872.932 -0.00115893
1578.52705968 9.98876918241 4.12114552578 0.0019234768993 136.96 0.23696 0.207 0.00011906 758.799 -1509.598 -4.98209e-05
1240.42120772 10.8422054292 4.70280454677 0.00165777086309 119.42 0.30512 0.3318 0.00011311 591.431 -1174.862 -0.000372205
1187.70257898 10.5742956629 3.97167254865 0.0016850150732 119.97 0.35291 0.26883 0.00014003 422.095 -836.19 -6.02485e-07
1504.64748156 10.8375515249 4.87124968408 0.00197142355549 131.74 0.28441 0.30634 0.000122 690.708 -1373.416 -0.00347135
1461.82590737 10.390476711 4.17689324691 0.00192880447758 135.46 0.31224 0.22867 0.00012689 644.193 -1280.386 -2.52726e-05
1573.56792915 10.3179710569 4.68855425243 0.00201729523017 138.51 0.29072 0.28874 0.00014252 628.987 -1249.974 -2.45576e-05
1489.3244117 10.1324650562 4.03540177098 0.00192370397082 133.06 0.25149 0.22321 0.00011483 800.996 -1593.992 -6.98843e-05
1642.68084284 10.5000359776 4.93188415902 0.00199774538459 142.06 0.30091 0.37609 0.00015683 589.164 -1170.328 -0.000417942
1578.39656827 10.6576526658 4.63606746086 0.00174796286501 137.06 0.28411 0.26803 0.00011204 631.274 -1254.548 -0.000128238
1306.47308944 10.2628283561 3.81532064562 0.00208551945132 131.61 0.34098 0.25165 0.00015586 674.733 -1341.466 -3.33024e-05
1523.15020135 10.7557239108 4.46899995761 0.00191325214953 130.61 0.28876 0.27308 0.00011875 741.057 -1474.114 -0.00151231
1587.07313854 10.0141480447 4.86782860944 0.00206661293284 141.11 0.25732 0.30419 0.00014127 548.531 -1089.062 -0.00149305
1298.93559371 10.8122571167 4.42930781413 0.00175839901431 120.81 0.29884 0.27689 0.00012434 591.869 -1175.738 -4.85949e-05
1648.18936153 9.72738541283 3.86620899324 0.00202989866241 144.72 0.24473 0.20038 0.00012465 727.431 -1446.862 -4.12147e-05
1504.15941115 10.9669003322 4.95864926602 0.00207224711928 127.35 0.2852 0.29153 0.00012873 810.497 -1612.994 -8.15937e-05
1417.98203326 10.348624347 4.19161415476 0.00184726993868 128.83 0.28944 0.27474 0.00013026 776.267 -1544.534 -0.0209227
1549.33093448 10.7565917904 4.68369475134 0.00198496721476 134.03 0.28802 0.28734 0.00012158 648.31 -1288.62 -0.000289443
1840.08952265 10.3765837415 5.19745600908 0.00165202444672 147.72 0.24948 0.31424 0.00010851 602.445 -1196.89 -1.35736e-06
1475.12447198 10.747835071 5.09487632134 0.00182317903875 126.48 0.28504 0.33011 0.00012791 629.784 -1251.568 -1.11487e-05
1642.43418626 10.7038815657 4.61839151157 0.00179595761324 137.16 0.26616 0.25857 0.00011296 628.789 -1249.578 -0.00279608
1380.37276368 9.99337408321 4.17029232795 0.00188804006584 130.85 0.26734 0.24835 0.00012242 593.586 -1179.172 -4.41491e-05
1484.43624975 10.0886135799 4.43076055852 0.00172861109696 137.04 0.3031 0.26542 0.0001194 499.17 -990.34 -1.7284e-05
1327.52239648 9.88357182454 4.01321539066 0.00181185976739 125.45 0.25064 0.22271 0.00011326 672.582 -1337.164 -1.85885e-05
1483.46650943 10.6968357374 4.63572281678 0.00202709640706 129.68 0.28822 0.29521 0.00012612 680.047 -1352.094 -8.27611e-07
1564.95306147 10.4183514843 4.61219633223 0.00195315018693 138.78 0.27076 0.26544 0.00012148 586.644 -1165.288 -0.000272863
1557.22616787 10.813449905 4.90028305959 0.00171126110264 134.32 0.29884 0.32521 0.00011776 551.67 -1095.34 -0.000406397
